date_of_sale ,street,postal_code,county,price ,not_full_market_price,vat_exclusive,property_name
1/1/2020,"APT 1 LEE HOUSE, STRAND LANE  THE QUAY, CARRICK ON SUIR",,Tipperary,120000,No,No,Second-Hand Dwelling house /Apartment
1/1/2020,"Lands at Cliffor'd Field, Treanoughtragh, Glenbeigh",,Kerry,248681,No,Yes,New Dwelling house /Apartment
1/1/2020,"ROSSACOOSANE, TEMPLENOE, KENMARE",,Kerry,450000,No,No,Second-Hand Dwelling house /Apartment
1/1/2020,"Site 4, Clifford's Field, Treanoughtragh",,Kerry,286950,No,Yes,New Dwelling house /Apartment
2/1/2020,"105 DONAGHMORE, THE ANCHORAGE, BETTYSTOWN",,Meath,125000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"109 Cedar Walk, Castleoaks, Dublin Road",,Carlow,211410,No,Yes,New Dwelling house /Apartment
2/1/2020,"11 OAK GLADE COURT, BLESSINGTON RD, NAAS",,Kildare,204000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"12 WHITECLIFF, WHITECHURCH RD, RATHFARNHAM DUBLIN 16",Dublin 16,Dublin,565000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"125 MILL TOWN HALL, MT ST ANNES, MILLTOWN",Dublin 6,Dublin,588500,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"13 BLOCK C, THE HARBOUR, CANAL SIDE",,Kildare,40000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"15 BLOCK C, THE HARBOUR CANALSIDE, ATHY",,Kildare,40000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"16 BLOCK C, THE HARBOUR CANALSIDE, ATHY",,Kildare,52500,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"16 CHERRY DR, GLENCAIRIN, DOORADOYLE",,Limerick,242000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"16 Marlmount Walk, Dundalk",,Louth,233481,No,Yes,New Dwelling house /Apartment
2/1/2020,"16 STRATFORD HAVEN, RATHGAR, DUBLIN 6",Dublin 6,Dublin,232500,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"17 BLOCK C, THE HARBOUR CANALSIDE, ATHY",,Kildare,40000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"18 OAKWOOD RETIREMENT VILLAGE, HAWTHORN DRIVE, ROSCOMMON",,Roscommon,55000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"20 ST EITHNE ROAD, CABRA, DUBLIN 7",,Dublin,360000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"22 Athlumney Close, Kentstown Road, Navan",,Meath,259911,No,Yes,New Dwelling house /Apartment
2/1/2020,"26 WATERVILLE HOLIDAY HOMES, WATERVILLE, KERRY",,Kerry,138000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"3  The Orchard, Gleann Ull, Ballyhooly",,Cork,220264.32,No,Yes,New Dwelling house /Apartment
2/1/2020,"30 BLOCK C, HARBOUR CANALSIDE, ATHY",,Kildare,40000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"32 THE BLOCK C, THE HARBOUR CANALSIDE, ATHY",,Kildare,40000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"34 BLOCK C, HARBOUR CANALSIDE, ATHY",,Kildare,40000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"4 Belarmine View, Belarmine Woods, Stepaside",,Dublin,555066.07,No,Yes,New Dwelling house /Apartment
2/1/2020,"41 Fairhaven Avenue, Castleknock Road, Castleknock",,Dublin,660000,No,Yes,New Dwelling house /Apartment
2/1/2020,"44 CASTLE FALLS, ROSS RD, KILLARNEY",,Kerry,285000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"47 BLOCK C, HARBOUR CANALSIDE, ATHY",,Kildare,40000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"48 BLOCK C, HARBOUR CANALSIDE, ATHY",,Kildare,45000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"49 BLOCK C, HARBOUR, CANALSIDE",,Kildare,40000,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"5 WILLIAM BECKETT HOUSE, PEMBROKE ROW, DUBLIN",Dublin 2,Dublin,624600,No,No,Second-Hand Dwelling house /Apartment
2/1/2020,"50 BLOCK C, HARBOUR CANALSIDE, ATHY",,Kildare,52500,No,No,Second-Hand Dwelling house /Apartment
